"","Taxa","NMDS1","NMDS3","X.taxa.col2.axis13.vectors..r","X.taxa.col2.axis13.vectors..pvals"
"1","Araneae",-0.212048323451018,0.977259181855874,0.27722896646766,0.003
"2","Acari",-0.186382991842445,0.98247716530811,0.034478977384419,0.239
"3","Anthicidae",0.504110776461362,-0.86363900158314,0.0107494495830431,0.675
"4","Erotylidae",0.020773137419079,-0.999784215099322,0.0900088025139051,0.098
"5","Cryptophagidae",0.132401951292891,-0.991196107384323,0.0139117502213548,0.519
"6","Latridiidae",0.685026876559778,-0.728517795520984,0.0395189745100471,0.271
"7","Coccinellidae",0.884609722302348,0.466332112563743,0.0359691221509131,0.263
"8","Lampyridae",0.885527825761171,-0.464586342677756,0.0211748631293536,0.322
"9","Chrysomelidae",-0.208076322223818,0.978112592767218,0.15437944541976,0.076
"10","Coccinellidae.Larvae",0.492398246433257,-0.870370017239481,0.0194950264109333,0.413
"11","Cecidomyiidae",-0.0774767514620562,0.996994158951238,0.0497070862205327,0.189
"12","Ceratopogonidae",0.429715515571564,-0.902964326912789,0.0389224089333553,0.324
"13","Chironomidae",-0.159931974330684,-0.98712803809166,0.00491552330869401,0.843
"14","Culicidae",0.619068938957314,0.785336646807129,0.0120704610550335,0.634
"15","Chaoboridae",0.527957741513102,0.849270641890078,0.0111708490011949,0.661
"16","Dolichopodidae",-0.123696708075146,0.992320071555228,0.297746418074796,0.015
"17","Psychodidae",0.0713572577411971,0.997450821728899,0.00632900536323128,0.744
"18","Ephydridae",-0.780029150102326,0.625743178141514,0.00599159919177049,0.853
"19","Chloropidae",-0.875110951184794,-0.483922331698429,0.104919413263193,0.094
"20","Agromyzidae",0.412946219204195,0.910755411757164,0.00441325422122428,0.854
"21","Drosophilidae",-0.173228215671763,-0.984881711321302,0.465304850930579,0.021
"22","Muscidae",-0.155645280182482,0.987813012040698,0.298455725239849,0.045
"23","Anthomyiidae",0.962047257889911,-0.272882893539523,0.0206637481204585,0.313
"24","Stratiomyidae",0.198386783936874,0.980123810525581,0.0221970788741936,0.49
"25","Tabanidae",-0.138835112075747,0.990315511165464,0.0169684338285759,0.436
"26","Dixidae",-0.523156643332081,-0.852236543770278,0.0987747160529111,0.115
"27","Syrphidae",0.276620645151526,-0.960979197837265,0.0466429078018148,0.209
"28","Caenidae",-0.474469513327,0.880271935780779,0.0585544969097856,0.161
"29","Pteromalidae",0.221267411990584,-0.975213172794025,0.0146468938832181,0.591
"30","Eulophidae",0.08286705235112,-0.996560611119382,0.00840001753111024,0.745
"31","Ceraphronidae",0.967867927063437,0.251459093615495,0.0203642545676,0.436
"32","Scelionidae",-0.146831824867595,0.989161470744818,0.217559349182365,0.012
"33","Braconidae",-0.0191582196968943,0.999816464466377,0.0969117627924889,0.089
"34","Ichneumonidae",-0.109165889626197,-0.994023545265463,0.287173529915914,0.009
"35","Formicidae",0.0418877984132603,0.999122321011842,0.0238053226244927,0.37
"36","Mymaridae",-0.402212048317586,-0.915546540700238,0.0112226674476096,0.599
"37","Aphididae",0.86485491175252,-0.502021893563958,0.0187208356950443,0.367
"38","Cicadellidae",0.997209028129891,-0.0746602586135194,0.0390467454926332,0.304
"39","Anthocoridae",-0.422377740543564,0.906419905062391,0.00565728382078562,0.753
"40","Miridae",-0.178128674474156,0.984007202885264,0.226079467364169,0.046
"41","Hemerobiidae",-0.122345353065223,0.992487589133157,0.252853919689212,0.013
"42","Libellulidae",-0.173617436577183,0.984813173001036,0.0929435205032539,0.099
"43","Lestidae",0.131828863452174,-0.991272490670909,0.00258588733888775,0.919
"44","Coenagrionidae",0.999148721180607,0.0412532782110485,0.070378971946154,0.136
"45","Thysanoptera",0.943848222503755,-0.330379377196128,0.043345907859088,0.234
"46","Hydroptilidae",0.845349199917244,-0.534214123923428,0.0265596145955752,0.463
"47","Leptoceridae",-0.114294554868226,0.993446905842217,0.0257890724067221,0.418
"48","Polycentropodidae",0.0149829885054432,0.999887748727549,0.00762907308508513,0.711
"49","Phryganeidae",0.234266639847341,0.972172382581729,0.0531330750266335,0.227
"50","Psocoptera",0.396773743534073,-0.917916443061109,0.038029952293986,0.179
"51","Cosmopterigidae",0.396773743534073,-0.917916443061109,0.038029952293986,0.179
"52","Gracillariidae",0.110836351261688,0.993838670629693,0.000864284788448396,0.974
"53","Noctuidae",0.812748982805728,-0.582614015406645,0.0338821804632063,0.262
