"","MDS1","MDS3","species"
"Anthicidae",-0.238710623622153,0.148996439351723,"Anthicidae"
"Coccinellida",-0.234822767750305,0.0139715244775628,"Coccinellida"
"Lampyridae",-0.245975627378006,-0.0887611126474291,"Lampyridae"
"Chironomidae",0.417951532534595,-0.415127623555079,"Chironomidae"
"Dolichopodid",-0.507134532177927,-0.0779264326410443,"Dolichopodid"
"Calliphorida",-0.240445038731837,0.0928991395962001,"Calliphorida"
"Pteromalidae",-0.363859149735208,-0.00994837440554263,"Pteromalidae"
"Ichneumonida",-0.223301422228087,0.324760467179916,"Ichneumonida"
"Cicadellidae",-0.260435269881821,0.186989216613152,"Cicadellidae"
"Hemerobiidae",-0.414518484406298,-0.17441681208823,"Hemerobiidae"
"Coenagrionid",-0.196208190195636,0.139351103080555,"Coenagrionid"
"Thysanoptera",-0.224542758940997,0.157295481343865,"Thysanoptera"
"Hydroptilida",0.25378646194154,-0.106521712584079,"Hydroptilida"
"Leptoceridae",0.377168062866848,-0.26682281429147,"Leptoceridae"
"Limnephilida",-0.18502733975003,0.180474531416427,"Limnephilida"
"Psocoptera",-0.128050087005128,0.151701219004949,"Psocoptera"
