"","Araneae","Acari","Curculionidae","Staphylinidae","Anthicidae","Erotylidae","Cryptophagidae","Latridiidae","Coccinellidae","Lampyridae","Coccinellidae.Larvae","Erotylidae.Larvae","Collembola","Cecidomyiidae","Phoridae","Ceratopogonidae","Chironomidae","Culicidae","Chaoboridae","Dolichopodidae","Ephydridae","Carnidae","Sciomyzidae","Chloropidae","Agromyzidae","Muscidae","Anthomyiidae","Stratiomyidae","Tabanidae","Tipulidae","Dixidae","Syrphidae","Caenidae","Pteromalidae","Eulophidae","Aphelinidae","Ceraphronidae","Scelionidae","Braconidae","Ichneumonidae","Diapriidae","Sphecidae","Crabronidae","Mymaridae","Aphididae","Cicadellidae","Anthocoridae","Miridae","Hemerobiidae","Libellulidae","Lestidae","Coenagrionidae","Thysanoptera","Hydroptilidae","Leptoceridae","Polycentropodidae","Phryganeidae","Psocoptera","Cosmopterigidae","Gracillariidae","Noctuidae","Crambidae"
"1",0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.142857142857143,0,0,0.363636363636364,0.363636363636364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0454545454545455,0,0,0,0,0,0,0
"2",0.533333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0895883777239709,0,0,0.454545454545455,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"3",0.0666666666666667,0,0,0,0,0.2,0,0,0,0,0,0,0,0,1,0,0.0508474576271186,0,0,0,0.181818181818182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0.012987012987013,0,0,0,0,0,0,0,0
"4",1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.191283292978208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0,0,0,0,0,0,0,0,0
"5",0.0666666666666667,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230024213075061,0.0285714285714286,0,0.0909090909090909,0,0,0,1,0,0,0,0,0,0,0.333333333333333,0,0,0,0.166666666666667,0,1,1,0,0,0,0,0,0,0.00173310225303293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"6",0.133333333333333,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0.11138014527845,0.0571428571428571,0,0.454545454545455,0.272727272727273,1,0,0,0,0,0,0,0,0,0,0,0,0,0.166666666666667,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0.0666666666666667,0.0666666666666667,0,0,0,0,0.235294117647059,0,0,0,0
"7",0.0666666666666667,0,0,0,0.5,0,0,0,0,1,0,0,0,0,0,0,0.00484261501210654,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0,0,0,0,0,0,1,0.333333333333333,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",0.133333333333333,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.0212765957446809,0.0750605326876513,0.0285714285714286,0,1,0.454545454545455,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,1,1,0,0,0.0589254766031196,0,0,0,0,0,0,0,0,0,0,0,0,0.0588235294117647,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0314769975786925,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666666666666667,0,0.025974025974026,0,0,0,0,0,0,0,0
"10",0.0666666666666667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062953995157385,0,0,0,0,0,0,0,1,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
