,MDS1,MDS3,taxa,Order
Canopy.Height,-0.666607312,-0.11524524,Canopy.Height,
Water.Temp,0.733153301,0.206523693,Water.Temp,
Standing.Dead,-0.673881953,-0.174692012,Standing.Dead,
Anthicidae,-0.503017996,-0.321668313,Anthicidae,Coleoptera
Erotylidae,-0.493701017,-0.32221327,Erotylidae,Coleoptera
Cecidomyiidae,-0.51089817,-0.289767429,Cecidomyiidae,Diptera
Chironomidae,0.664726472,0.281937308,Chironomidae,Diptera
Chloropidae,-0.496868747,0.312370273,Chloropidae,Diptera
Caenidae,0.45665872,-0.31956738,Caenidae,Emphemeroptera
Pompilidae,-0.177048468,-0.579111969,Pompilidae,Hymenoptera
Lestidae,-0.290832046,0.496578534,Lestidae,Odonata
