"","Taxa","NMDS1","NMDS2","X.taxa.june.axis12.vectors..r","X.taxa.june.axis12.vectors..pvals"
"1","Araneae",-0.99313719008112,-0.116955212272806,0.192554440697197,0.082
"2","Curculionida",-0.554740759990037,-0.832023250399696,0.278042005806926,0.022
"3","Carabidae",-0.822120788176322,0.569313103352051,0.0631516185881787,0.624
"4","Anthicidae",-0.854975135292697,0.518668986957226,0.384664677848543,0.007
"5","Erotylidae",-0.799839846278524,-0.60021347894324,0.165155694964673,0.113
"6","Cryptophagid",-0.697272653410788,0.716806003605912,0.202404484374192,0.075
"7","Latridiidae",-0.785887271242091,0.618369789769568,0.140342488588886,0.188
"8","Phalacridae",-0.54981835529792,0.835284248730628,0.0727757262099942,0.524
"9","Coccinellida",-0.848462790930719,0.529255035314785,0.189938314024195,0.1
"10","Nitidulidae",-0.890364575495971,0.455248199010033,0.191721531485038,0.101
"11","Anthicidae.L",0.178774290054562,-0.983890112367986,0.0599303046820162,0.56
"12","Collembola",-0.215259262192786,0.976556936404743,0.192879065794856,0.091
"13","Cecidomyiida",-0.223394330123753,0.974728153522078,0.161196092070618,0.138
"14","Sciaridae",0.449752805199201,0.893153074346973,0.0710307034229488,0.5
"15","Scatopsidae",0.999856850896341,0.0169197433683683,0.0579682597618897,0.723
"16","Phoridae",-0.877859059690147,0.478919065521442,0.123067209553192,0.269
"17","Ceratopogoni",0.953444764404405,0.30156770588017,0.112083071286246,0.176
"18","Chironomidae",0.939989571959488,-0.341203172035986,0.706351804851256,0.001
"19","Culicidae",-0.440849574317964,0.897581000703374,0.0657358816888253,0.609
"20","Empididae",0.636774037751805,-0.771050468416473,0.118772489537278,0.184
"21","Ephydridae",0.65243123943791,-0.757847925249856,0.120615125442766,0.237
"22","Chloropidae",-0.993741468361848,-0.111704494350216,0.334706899420934,0.01
"23","Anthomyiidae",0.999980982579606,0.00616720999535754,0.0637374105298931,0.513
"24","Calliphorida",-0.705395418753193,0.708814011713939,0.27449566626297,0.031
"25","Dixidae",-0.746880197281234,0.664958623456486,0.233039718694385,0.054
"26","Syrphidae",-0.311145253508632,0.950362368372743,0.0588624917375267,0.691
"27","Caenidae",0.995645074835258,-0.0932249159629212,0.375954827062335,0.003
"28","Pteromalidae",-0.998957517794894,0.0456495086618051,0.0268190304587222,0.841
"29","Eulophidae",-0.0553399304138764,0.998467571882927,0.210415664493437,0.061
"30","Aphelinidae",-0.440849574317964,0.897581000703374,0.0657358816888253,0.609
"31","Ceraphronida",-0.58059387768418,0.814193311932521,0.164371162523924,0.113
"32","Scelionidae",-0.968227432295318,0.25007126854322,0.149899830869534,0.191
"33","Platygastrid",-0.808937308963673,0.58789491422074,0.122713128930281,0.25
"34","Braconidae",-0.311145253508632,0.950362368372743,0.0588624917375267,0.691
"35","Ichneumonida",0.90906995824212,-0.416643505915633,0.073553470961299,0.482
"36","Eurytomidae",-0.558082285857482,-0.829785612198771,0.23737763006567,0.049
"37","Mymaridae",0.998494282938054,-0.0548558742526336,0.198242853217291,0.044
"38","Halictidae",0.999856850896341,0.0169197433683683,0.0579682597618897,0.723
"39","Aphididae",0.303002372737223,-0.952989801684999,0.0201087674616439,0.785
"40","Cicadellidae",-0.515790663712784,-0.85671464982614,0.294100101600316,0.005
"41","Miridae",-0.999352177499933,0.035989239032561,0.0510795346051519,0.694
"42","Coenagrionid",-0.936586390781245,0.35043677404542,0.259858468767208,0.035
"43","Thysanoptera",-0.683451994750021,0.729995459487398,0.151565216217041,0.152
"44","Hydroptilida",0.968377040057177,-0.24949129902684,0.219174089092862,0.047
"45","Leptoceridae",0.929212955466909,-0.369544697421642,0.122684765502454,0.148
"46","Polycentropo",0.897169239101288,-0.441686943898523,0.302548330925843,0.011
"47","Phryganeidae",0.636365213180026,-0.771387915030006,0.116726636152678,0.252
"48","Limnephilida",-0.998086699735066,0.0618299265078329,0.176627606407107,0.122
"49","Crambidae",0.996450895527875,0.0841760821237034,0.30301685397183,0.007
