"","MDS1","MDS2","species"
"Oligochaetae",-0.348931322398062,-0.416399890001878,"Oligochaetae"
"Hirudinea",-0.418831816985131,0.282892720274248,"Hirudinea"
"Hydrazoa",-0.373694595227285,-0.574714056821129,"Hydrazoa"
"Bivalvia",-0.10800138144893,-0.508669204486897,"Bivalvia"
"Gastropoda",-0.296898571827542,-0.545506596127613,"Gastropoda"
"Araneae",0.655380251120164,-0.0084566215180801,"Araneae"
"Collembola",0.77083935135065,0.153824005478348,"Collembola"
"Staphylinidae",0.683753853602744,0.187773644241084,"Staphylinidae"
"Hydrophilidae",0.676386802137547,0.0594810511259197,"Hydrophilidae"
"Chironomidae",-0.379078409014844,-0.705620176781216,"Chironomidae"
"Dolichopodidae",0.509112907098929,0.0469152025557185,"Dolichopodidae"
"Cecidomyiidae",0.5018252966722,0.217299154641149,"Cecidomyiidae"
"Caenidae",-0.287340162229797,-0.548330259831594,"Caenidae"
"Pleidae",-0.18080357496032,-0.473310787696788,"Pleidae"
"Leptoceridae",-0.178720513378592,-0.553328853159326,"Leptoceridae"
