"","Taxa","NMDS1","NMDS3","X.taxa.col4.axis13.vectors..r","X.taxa.col4.axis13.vectors..pvals"
"1","Araneae",-0.956910043569071,0.290384518383192,0.058159415571979,0.253
"2","Acari",0.976314761913765,0.216354999177897,0.0601175271219128,0.26
"3","Carabidae",0.550795384479237,0.834640308418165,0.0122905143811943,0.791
"4","Anthicidae",-0.107370883948796,0.994219036872688,0.116038845303484,0.053
"5","Throscidae",0.994311813419478,-0.106508298711735,0.0717232054320116,0.141
"6","Erotylidae",-0.177036154548404,0.984204348691223,0.074879107136179,0.141
"7","Latridiidae",0.289115040324145,0.957294360924772,0.21488203590132,0.001
"8","Phalacridae",0.849939354848258,0.526880530177504,0.128710832819136,0.031
"9","Coccinellida",0.81640596459281,-0.577478398710535,0.0261754628466843,0.551
"10","Lampyridae",-0.139874204171804,0.990169281995409,0.0580418710757141,0.216
"11","Chrysomelida",0.550795384479237,0.834640308418165,0.0122905143811943,0.791
"12","Cocc.Larvae",-0.616276328457375,0.787529991164208,0.0354185769796833,0.458
"13","Erotylidae.L",-0.43056442223647,0.902559847491663,0.0833540120121301,0.116
"14","Collembola",0.35977219730135,0.93304017386657,0.0317116614358864,0.482
"15","Cecidomyiida",-0.513612357931075,-0.858022345734935,0.0297462338524339,0.492
"16","Scatopsidae",-0.707586512177506,-0.706626724504863,0.0343685856236698,0.443
"17","Phoridae",0.212858209490285,-0.977083099154105,0.0439932264013017,0.36
"18","Ceratopogoni",0.981261615174979,0.192680156176476,0.188364940070372,0.008
"19","Chironomidae",0.978887575311361,-0.204399400441991,0.29684327466943,0.001
"20","Culicidae",0.548415036118301,0.836206283257524,0.00501612713080029,0.884
"21","Chaoboridae",0.651515701114087,-0.7586351502546,0.0153345832467154,0.72
"22","Dolichopodid",-0.374739272043233,-0.927130237878427,0.105467465270688,0.058
"23","Empididae",0.905504706076197,0.424336219611124,0.0839207104235651,0.093
"24","Ephydridae",-0.147202001294164,0.989106450699313,0.0602467687656456,0.208
"25","Carnidae",0.444531200487132,0.895763368191326,0.0180017534316266,0.662
"26","Sciomyzidae",0.250435085320514,0.968133393722429,0.0818064192703175,0.13
"27","Chloropidae",-0.809999853681206,-0.586430078557047,0.0625197289835935,0.196
"28","Muscidae",-0.123777847726535,-0.992309953800821,0.00758933271301225,0.847
"29","Calliphorida",-0.595440896404257,-0.803399115564173,0.0239227335635266,0.551
"30","Stratiomyida",-0.895636505683733,-0.444786746302802,0.0534297262648506,0.254
"31","Tabanidae",0.238034310476901,0.97125674619834,0.049521518588559,0.268
"32","Tipulidae",0.521746886043182,-0.853100338122218,0.0549035148239034,0.257
"33","Dixidae",0.523881273752652,-0.851791295454056,0.0418045155255768,0.371
"34","Syrphidae",0.232881990316318,0.972505001830999,0.0106706879125271,0.774
"35","Caenidae",0.749526148365339,0.661974737370407,0.0912235538296263,0.084
"36","Pteromalidae",0.983875089315924,0.178856950168516,0.0321375310764635,0.467
"37","Eulophidae",-0.525732722320535,-0.850649813190739,0.129150158223516,0.028
"38","Aphelinidae",-0.608551431100682,-0.793514433205416,0.0487394788359023,0.321
"39","Ceraphronida",0.62359199130926,-0.781749978173937,0.0307321329095945,0.501
"40","Scelionidae",-0.0562398966713937,-0.998417284517046,0.0910756780876212,0.084
"41","Platygastrid",0.520555847576229,0.853827622857327,0.00377033075410196,0.89
"42","Braconidae",0.644250878667552,-0.764814229297603,0.0224053485413327,0.643
"43","Ichneumonida",0.142846670068946,0.989744830170996,0.0521153349276908,0.259
"44","Pompilidae",0.134591555834687,-0.990901162123649,0.083832326950826,0.111
"45","Formicidae",-0.131978894547435,0.991252526551149,0.093078575920903,0.071
"46","Diapriidae",-0.122392675723529,-0.992481754456592,0.0253738432867951,0.528
"47","Sphecidae",-0.726172705802107,-0.687512328142592,0.00533306473789709,0.882
"48","Crabronidae",-0.35196155548477,0.936014456865246,7.45541008777808e-05,1
"49","Mymaridae",-0.0589969820969026,-0.998258161050265,0.0327312096618795,0.444
"50","Encyrtidae",0.550795384479237,0.834640308418165,0.0122905143811943,0.791
"51","Halictidae",-0.361917049219868,0.93221030324921,0.0183122594554537,0.668
"52","Aphididae",-0.80221698263874,-0.597032589366774,0.00904148195887336,0.852
"53","Cicadellidae",0.99098338768064,-0.133984795185879,0.0050318569507951,0.911
"54","Anthocoridae",0.567133206980459,0.823626083571945,0.0347268754170148,0.434
"55","Miridae",0.810558643583737,0.585657481222338,0.0370229520351004,0.467
"56","Libellulidae",-0.153867648748012,0.988091466752324,0.0501807624854534,0.297
"57","Lestidae",0.468392032203372,-0.883520743485061,0.0383151132708554,0.393
"58","Coenagrionid",0.666358099540546,0.745631868402036,0.0187807558589943,0.642
"59","Thysanoptera",0.886066499022703,-0.463558150947269,0.000644559300863724,0.982
"60","Hydroptilida",0.48876968024174,0.872412860792634,0.099180844488539,0.064
"61","Leptoceridae",0.917636600788463,0.397420518963724,0.162517426417442,0.013
"62","Molannidae",0.905504706076197,0.424336219611124,0.0839207104235651,0.093
"63","Polycentropo",0.217819144822151,0.975989149606156,0.0444838417624723,0.343
"64","Phryganeidae",0.726505188724855,-0.687160978778526,0.00381907138633862,0.936
"65","Psocoptera",-0.209425100240452,0.977824691542035,0.0768254193766166,0.148
"66","Cosmopterigi",-0.00855475285428129,0.999963407432293,0.00761610908598214,0.83
"67","Gracillariid",0.810558643583737,0.585657481222338,0.0370229520351004,0.467
"68","Noctuidae",0.134591555834687,-0.990901162123649,0.083832326950826,0.111
"69","Crambidae",0.423500957637992,0.905895655624699,0.0315726837424346,0.476
