"","ID","Treatment","Date","Year","N","YrCol","NMDS1","NMDS2","NMDS3"
"1","IN1","Invaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.104292121503631,-0.0174736756750352,-0.048397479237617
"2","IN2","Invaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.106834806594263,0.00765216374799469,-0.112576241532181
"3","IN3","Invaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.0462338683398425,0.0541009394340929,-0.129955358244494
"4","IN4","Invaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.0269668331773614,0.0465539899340728,-0.0738909384662147
"5","IN5","Invaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.166854328962967,0.0716912697804018,-0.0726706891247645
"6","IN6","Invaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.108818676534395,0.10253220268451,-0.0789707627064394
"7","IN7","Invaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.154433849003293,0.161092591400519,0.0477024070907409
"8","IN8","Invaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.10131260708836,0.0863335824600907,-0.0296732272768843
"9","INOW","Invaded","21-Jul-17",2017,"Col._4","2017Col._4",0.207379544767507,-0.1321986372092,0.0706216220622104
"10","RES1","Treated","21-Jul-17",2017,"Col._4","2017Col._4",0.0643191549120903,-0.0315438151934734,-0.0691882898959069
"11","RES3","Treated","21-Jul-17",2017,"Col._4","2017Col._4",0.0725440070728475,-0.0142778876259112,0.0387688386325695
"12","RES4","Treated","21-Jul-17",2017,"Col._4","2017Col._4",0.0534018126267794,-0.0271512969409507,-0.0157108301603269
"13","RES5","Treated","21-Jul-17",2017,"Col._4","2017Col._4",0.185724383294999,-0.0170156107759249,0.0299087583623503
"14","RES6","Treated","21-Jul-17",2017,"Col._4","2017Col._4",0.0172068517530464,-0.119350557601959,-0.0274965344271078
"15","RES7","Treated","21-Jul-17",2017,"Col._4","2017Col._4",0.205593462577162,0.0297653845366953,-0.0160037784165914
"16","RES8","Treated","21-Jul-17",2017,"Col._4","2017Col._4",0.0253404696258198,-0.0625740190192442,0.00936686976014617
"17","UNM1","Uninvaded","21-Jul-17",2017,"Col._4","2017Col._4",0.126292226621359,0.0512946798300962,0.0663114087913537
"18","UNM2","Uninvaded","21-Jul-17",2017,"Col._4","2017Col._4",0.038375966838051,-0.0651631833318611,-0.167353641493126
"19","UNM3","Uninvaded","21-Jul-17",2017,"Col._4","2017Col._4",0.134946241450813,-0.0179363728645399,0.0835896807287168
"20","UNOW","Uninvaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.059542056942374,-0.204637272033273,-0.0721717141167365
"21","UNT1","Uninvaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.230439091079523,-0.122050384276329,0.0467935598601897
"22","UNT2","Uninvaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.227133014575764,-0.0432715428699962,-0.201768473023601
"23","UNT3","Uninvaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.0320011946693668,-0.0286608977989307,0.00508126630608055
"24","UNT4","Uninvaded","21-Jul-17",2017,"Col._4","2017Col._4",-0.195461009395269,-0.012510566408013,-0.00317747834153282
"25","IN1","Invaded","23-Jul-18",2018,"Col._6","2018Col._6",-0.0362925810148739,0.118143315755195,0.19808430052454
"26","IN2","Invaded","23-Jul-18",2018,"Col._6","2018Col._6",-0.0172678102054831,0.0919850028195321,0.109863405212766
"27","IN3","Invaded","23-Jul-18",2018,"Col._6","2018Col._6",0.063647443381733,0.155460821173617,-0.121084241668659
"28","IN4","Invaded","23-Jul-18",2018,"Col._6","2018Col._6",0.0811034696356506,0.068869831658167,-0.0699669196355476
"29","IN6","Invaded","23-Jul-18",2018,"Col._6","2018Col._6",-0.0701793383286938,0.0810217346374416,0.0747152892502274
"30","IN6","Invaded","23-Jul-18",2018,"Col._6","2018Col._6",-0.0553374337601792,-0.0325426608833261,0.16482066337198
